Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,RE-AVD-Spine2,Ethernet6,l3leaf,RE-AVD-BrdrLeaf1B,Ethernet2,True
spine,RE-AVD-Spine3,Ethernet1,l3leaf,RE-AVD-Leaf1A,Ethernet3,True
spine,RE-AVD-Spine3,Ethernet2,l3leaf,RE-AVD-Leaf1B,Ethernet3,True
spine,RE-AVD-Spine3,Ethernet3,l3leaf,RE-AVD-Leaf2A,Ethernet3,True
spine,RE-AVD-Spine3,Ethernet4,l3leaf,RE-AVD-Leaf2B,Ethernet3,True
spine,RE-AVD-Spine3,Ethernet5,l3leaf,RE-AVD-BrdrLeaf1A,Ethernet3,True
spine,RE-AVD-Spine3,Ethernet6,l3leaf,RE-AVD-BrdrLeaf1B,Ethernet3,True
spine,RE-AVD-Spine4,Ethernet1,l3leaf,RE-AVD-Leaf1A,Ethernet4,True
spine,RE-AVD-Spine4,Ethernet2,l3leaf,RE-AVD-Leaf1B,Ethernet4,True
spine,RE-AVD-Spine4,Ethernet3,l3leaf,RE-AVD-Leaf2A,Ethernet4,True
spine,RE-AVD-Spine4,Ethernet4,l3leaf,RE-AVD-Leaf2B,Ethernet4,True
spine,RE-AVD-Spine4,Ethernet5,l3leaf,RE-AVD-BrdrLeaf1A,Ethernet4,True
spine,RE-AVD-Spine4,Ethernet6,l3leaf,RE-AVD-BrdrLeaf1B,Ethernet4,True
